[12:58:04] Type: PROCESS_CREATED | Details: filecoauth | Severity: LOW
[EID-1051] [15:15:40] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1052] [15:15:44] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1053] [15:15:47] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1054] [15:15:50] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1055] [15:15:54] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1056] [15:16:09] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1057] [15:16:12] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1058] [15:16:12] Type: PROCESS_CREATED | Details: svchost.exe -> smartscreen.exe | Severity: LOW | MITRE: - (-)
[EID-1059] [15:16:12] Type: PROCESS_CREATED | Details: svchost.exe -> openconsole.exe | Severity: LOW | MITRE: - (-)
[EID-1060] [15:16:12] Type: PROCESS_CREATED | Details: explorer.exe -> cmd.exe | Severity: MEDIUM | MITRE: T1059.003 (Command and Scripting Interpreter: Windows Command Shell)
[EID-1061] [15:16:12] Type: PROCESS_CREATED | Details: cmd.exe -> conhost.exe | Severity: LOW | MITRE: - (-)
[EID-1062] [15:16:12] Type: PROCESS_CREATED | Details: svchost.exe -> windowsterminal.exe | Severity: LOW | MITRE: - (-)
[EID-1063] [15:16:16] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1064] [15:16:16] Type: PROCESS_CREATED | Details: svchost.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
[EID-1065] [15:16:16] Type: PROCESS_CREATED | Details: svchost.exe -> dllhost.exe | Severity: LOW | MITRE: - (-)
[EID-1066] [15:16:19] Type: PROCESS_CREATED | Details: svchost.exe -> openconsole.exe | Severity: LOW | MITRE: - (-)
[EID-1067] [15:16:19] Type: PROCESS_CREATED | Details: powershell.exe -> conhost.exe | Severity: LOW | MITRE: - (-)
[EID-1068] [15:16:19] Type: PROCESS_CREATED | Details: explorer.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1069] [15:16:19] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1070] [15:16:23] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1071] [15:16:26] Type: PROCESS_CREATED | Details: chrome.exe -> chrome.exe | Severity: LOW | MITRE: - (-)
[EID-1072] [15:16:26] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1073] [15:16:29] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1074] [15:16:33] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
